GP,Compound,TyreLife,deg_delta,n_samples
Singapore Grand Prix,MEDIUM,8,-0.5615,44
Singapore Grand Prix,MEDIUM,9,-0.48,43
Singapore Grand Prix,MEDIUM,10,-0.534,41
Singapore Grand Prix,MEDIUM,11,-0.364,44
Singapore Grand Prix,MEDIUM,12,-0.35,41
Singapore Grand Prix,MEDIUM,13,-0.1985,42
Singapore Grand Prix,MEDIUM,14,-0.18,42
Singapore Grand Prix,MEDIUM,15,-0.024,40
Singapore Grand Prix,MEDIUM,16,0.035,43
Singapore Grand Prix,MEDIUM,17,0.1715,44
Singapore Grand Prix,MEDIUM,18,0.1925,40
Singapore Grand Prix,MEDIUM,19,0.207,38
Singapore Grand Prix,MEDIUM,20,0.551,26
Singapore Grand Prix,MEDIUM,21,0.6265,24
Singapore Grand Prix,MEDIUM,22,0.6125,24
Singapore Grand Prix,MEDIUM,23,0.796,23
Singapore Grand Prix,MEDIUM,24,0.777,22
Singapore Grand Prix,MEDIUM,25,1.268,21
Singapore Grand Prix,MEDIUM,26,1.215,20
Singapore Grand Prix,MEDIUM,27,1.314,16
Singapore Grand Prix,MEDIUM,28,1.166,16
Singapore Grand Prix,MEDIUM,29,1.156,9
Singapore Grand Prix,MEDIUM,30,1.2395,8
Singapore Grand Prix,MEDIUM,31,1.031,5
Singapore Grand Prix,MEDIUM,32,1.221,6
Singapore Grand Prix,MEDIUM,33,1.191,6
Singapore Grand Prix,MEDIUM,34,1.948,6
Singapore Grand Prix,MEDIUM,35,1.469,5
Singapore Grand Prix,MEDIUM,36,1.729,3
Singapore Grand Prix,SOFT,2,0.0,4
Singapore Grand Prix,SOFT,3,0.1575,4
Singapore Grand Prix,SOFT,4,0.0,5
Singapore Grand Prix,SOFT,5,0.0,13
Singapore Grand Prix,SOFT,6,0.0,18
Singapore Grand Prix,SOFT,7,0.271,19
Singapore Grand Prix,SOFT,8,-0.225,14
Singapore Grand Prix,SOFT,9,-0.4275,10
Singapore Grand Prix,SOFT,10,0.531,11
Singapore Grand Prix,SOFT,11,0.0205,12
Singapore Grand Prix,SOFT,12,-0.064,7
Singapore Grand Prix,SOFT,13,-0.068,7
Singapore Grand Prix,SOFT,14,0.795,8
Singapore Grand Prix,SOFT,15,0.5495,10
Singapore Grand Prix,SOFT,16,0.82,13
Singapore Grand Prix,SOFT,17,1.004,13
Singapore Grand Prix,SOFT,18,0.567,15
Singapore Grand Prix,SOFT,19,0.772,15
Singapore Grand Prix,SOFT,20,-0.242,13
Singapore Grand Prix,SOFT,21,0.651,11
Singapore Grand Prix,SOFT,22,0.1355,8
Singapore Grand Prix,SOFT,23,-0.18,7
Singapore Grand Prix,SOFT,24,-0.441,7
Singapore Grand Prix,SOFT,25,-0.16,5
Spanish Grand Prix,HARD,2,0.0,34
Spanish Grand Prix,HARD,3,0.0195,38
Spanish Grand Prix,HARD,4,0.276,36
Spanish Grand Prix,HARD,5,0.341,35
Spanish Grand Prix,HARD,6,0.476,36
Spanish Grand Prix,HARD,7,0.6385,38
Spanish Grand Prix,HARD,8,0.5385,36
Spanish Grand Prix,HARD,9,0.737,34
Spanish Grand Prix,HARD,10,0.7995,34
Spanish Grand Prix,HARD,11,0.7,35
Spanish Grand Prix,HARD,12,1.021,35
Spanish Grand Prix,HARD,13,1.183,35
Spanish Grand Prix,HARD,14,1.139,35
Spanish Grand Prix,HARD,15,1.1595,34
Spanish Grand Prix,HARD,16,1.529,30
Spanish Grand Prix,HARD,17,1.367,31
Spanish Grand Prix,HARD,18,1.264,31
Spanish Grand Prix,HARD,19,1.393,31
Spanish Grand Prix,HARD,20,1.309,32
Spanish Grand Prix,HARD,21,1.542,27
Spanish Grand Prix,HARD,22,1.237,23
Spanish Grand Prix,HARD,23,1.218,20
Spanish Grand Prix,HARD,24,1.591,21
Spanish Grand Prix,HARD,25,1.598,19
Spanish Grand Prix,HARD,26,1.955,17
Spanish Grand Prix,HARD,27,1.978,17
Spanish Grand Prix,HARD,28,2.222,17
Spanish Grand Prix,HARD,29,2.004,11
Spanish Grand Prix,HARD,30,2.431,9
Spanish Grand Prix,HARD,31,1.516,5
Spanish Grand Prix,HARD,32,1.82,3
Spanish Grand Prix,HARD,33,2.809,3
Spanish Grand Prix,HARD,34,2.601,3
Spanish Grand Prix,HARD,35,2.532,3
Spanish Grand Prix,HARD,36,3.17,3
Spanish Grand Prix,MEDIUM,2,0.0,82
Spanish Grand Prix,MEDIUM,3,0.218,81
Spanish Grand Prix,MEDIUM,4,0.441,85
Spanish Grand Prix,MEDIUM,5,0.436,86
Spanish Grand Prix,MEDIUM,6,0.548,81
Spanish Grand Prix,MEDIUM,7,0.735,85
Spanish Grand Prix,MEDIUM,8,0.755,82
Spanish Grand Prix,MEDIUM,9,0.8315,84
Spanish Grand Prix,MEDIUM,10,0.903,84
Spanish Grand Prix,MEDIUM,11,0.942,88
Spanish Grand Prix,MEDIUM,12,1.118,90
Spanish Grand Prix,MEDIUM,13,1.093,83
Spanish Grand Prix,MEDIUM,14,0.9935,88
Spanish Grand Prix,MEDIUM,15,1.069,83
Spanish Grand Prix,MEDIUM,16,1.107,80
Spanish Grand Prix,MEDIUM,17,1.181,79
Spanish Grand Prix,MEDIUM,18,1.069,74
Spanish Grand Prix,MEDIUM,19,1.2095,74
Spanish Grand Prix,MEDIUM,20,1.244,62
Spanish Grand Prix,MEDIUM,21,1.2235,54
Spanish Grand Prix,MEDIUM,22,1.36,43
Spanish Grand Prix,MEDIUM,23,1.352,39
Spanish Grand Prix,MEDIUM,24,1.546,32
Spanish Grand Prix,MEDIUM,25,1.352,29
Spanish Grand Prix,MEDIUM,26,1.626,21
Spanish Grand Prix,MEDIUM,27,2.149,12
Spanish Grand Prix,MEDIUM,28,2.2065,10
Spanish Grand Prix,MEDIUM,29,2.4235,8
Spanish Grand Prix,MEDIUM,30,2.6935,8
Spanish Grand Prix,MEDIUM,31,2.664,6
Spanish Grand Prix,MEDIUM,32,1.961,3
Spanish Grand Prix,MEDIUM,33,3.003,3
Spanish Grand Prix,SOFT,2,0.0,25
Spanish Grand Prix,SOFT,3,0.0,32
Spanish Grand Prix,SOFT,4,0.08,37
Spanish Grand Prix,SOFT,5,0.0,95
Spanish Grand Prix,SOFT,6,0.093,99
Spanish Grand Prix,SOFT,7,0.1455,98
Spanish Grand Prix,SOFT,8,0.206,101
Spanish Grand Prix,SOFT,9,0.285,103
Spanish Grand Prix,SOFT,10,0.403,100
Spanish Grand Prix,SOFT,11,0.412,93
Spanish Grand Prix,SOFT,12,0.63,96
Spanish Grand Prix,SOFT,13,0.488,97
Spanish Grand Prix,SOFT,14,0.572,96
Spanish Grand Prix,SOFT,15,0.717,93
Spanish Grand Prix,SOFT,16,0.737,96
Spanish Grand Prix,SOFT,17,0.678,83
Spanish Grand Prix,SOFT,18,0.768,72
Spanish Grand Prix,SOFT,19,0.698,66
Spanish Grand Prix,SOFT,20,0.728,63
Spanish Grand Prix,SOFT,21,0.698,56
Spanish Grand Prix,SOFT,22,0.8,46
Spanish Grand Prix,SOFT,23,0.78,37
Spanish Grand Prix,SOFT,24,0.599,25
Spanish Grand Prix,SOFT,25,0.7915,18
Spanish Grand Prix,SOFT,26,0.85,14
Spanish Grand Prix,SOFT,27,1.064,10
Spanish Grand Prix,SOFT,28,1.0885,10
Spanish Grand Prix,SOFT,29,0.709,5
Spanish Grand Prix,SOFT,30,0.383,3
Spanish Grand Prix,SOFT,31,0.688,4
Styrian Grand Prix,HARD,2,0.0,16
Styrian Grand Prix,HARD,3,0.0,18
Styrian Grand Prix,HARD,4,0.0,21
Styrian Grand Prix,HARD,5,-0.079,17
Styrian Grand Prix,HARD,6,0.012,19
Styrian Grand Prix,HARD,7,0.088,20
Styrian Grand Prix,HARD,8,0.067,20
Styrian Grand Prix,HARD,9,0.0705,20
Styrian Grand Prix,HARD,10,0.178,21
Styrian Grand Prix,HARD,11,0.097,17
Styrian Grand Prix,HARD,12,0.2555,18
Styrian Grand Prix,HARD,13,0.269,19
Styrian Grand Prix,HARD,14,0.4775,18
Styrian Grand Prix,HARD,15,0.54,19
Styrian Grand Prix,HARD,16,0.388,15
Styrian Grand Prix,HARD,17,0.45,19
Styrian Grand Prix,HARD,18,0.658,19
Styrian Grand Prix,HARD,19,0.693,17
Styrian Grand Prix,HARD,20,0.754,18
Styrian Grand Prix,HARD,21,0.8945,18
Styrian Grand Prix,HARD,22,0.8165,20
Styrian Grand Prix,HARD,23,0.945,19
Styrian Grand Prix,HARD,24,0.954,19
Styrian Grand Prix,HARD,25,1.1435,18
Styrian Grand Prix,HARD,26,1.27,18
Styrian Grand Prix,HARD,27,1.361,18
Styrian Grand Prix,HARD,28,1.383,15
Styrian Grand Prix,HARD,29,1.249,17
Styrian Grand Prix,HARD,30,1.292,15
Styrian Grand Prix,HARD,31,1.3895,14
Styrian Grand Prix,HARD,32,1.7725,14
Styrian Grand Prix,HARD,33,1.664,15
Styrian Grand Prix,HARD,34,1.74,15
Styrian Grand Prix,HARD,35,1.905,12
Styrian Grand Prix,HARD,36,1.84,9
Styrian Grand Prix,HARD,37,1.737,10
Styrian Grand Prix,HARD,38,2.0625,10
Styrian Grand Prix,HARD,39,1.891,9
Styrian Grand Prix,HARD,40,2.406,9
Styrian Grand Prix,HARD,41,2.8865,6
Styrian Grand Prix,HARD,42,2.109,7
Styrian Grand Prix,HARD,43,2.37,6
Styrian Grand Prix,HARD,44,2.226,3
Styrian Grand Prix,MEDIUM,2,0.0,14
Styrian Grand Prix,MEDIUM,3,0.084,14
Styrian Grand Prix,MEDIUM,4,0.03,16
Styrian Grand Prix,MEDIUM,5,0.001,17
Styrian Grand Prix,MEDIUM,6,0.115,20
Styrian Grand Prix,MEDIUM,7,0.353,18
Styrian Grand Prix,MEDIUM,8,0.226,20
Styrian Grand Prix,MEDIUM,9,0.281,18
Styrian Grand Prix,MEDIUM,10,0.381,22
Styrian Grand Prix,MEDIUM,11,0.216,24
Styrian Grand Prix,MEDIUM,12,0.388,23
Styrian Grand Prix,MEDIUM,13,0.607,25
Styrian Grand Prix,MEDIUM,14,0.489,25
Styrian Grand Prix,MEDIUM,15,0.791,23
Styrian Grand Prix,MEDIUM,16,0.697,23
Styrian Grand Prix,MEDIUM,17,0.8,17
Styrian Grand Prix,MEDIUM,18,0.5585,20
Styrian Grand Prix,MEDIUM,19,0.785,23
Styrian Grand Prix,MEDIUM,20,0.785,25
Styrian Grand Prix,MEDIUM,21,0.686,25
Styrian Grand Prix,MEDIUM,22,0.7165,22
Styrian Grand Prix,MEDIUM,23,0.7475,24
Styrian Grand Prix,MEDIUM,24,0.914,23
Styrian Grand Prix,MEDIUM,25,0.945,23
Styrian Grand Prix,MEDIUM,26,0.936,23
Styrian Grand Prix,MEDIUM,27,0.827,23
Styrian Grand Prix,MEDIUM,28,0.9185,22
Styrian Grand Prix,MEDIUM,29,1.022,23
Styrian Grand Prix,MEDIUM,30,0.917,21
Styrian Grand Prix,MEDIUM,31,1.188,21
Styrian Grand Prix,MEDIUM,32,1.115,19
Styrian Grand Prix,MEDIUM,33,1.327,19
Styrian Grand Prix,MEDIUM,34,1.1585,14
Styrian Grand Prix,MEDIUM,35,1.3105,14
Styrian Grand Prix,MEDIUM,36,1.562,10
Styrian Grand Prix,MEDIUM,37,1.948,6
Styrian Grand Prix,MEDIUM,38,1.088,7
Styrian Grand Prix,MEDIUM,39,1.4695,6
Styrian Grand Prix,MEDIUM,40,1.632,5
Styrian Grand Prix,MEDIUM,41,1.201,3
Styrian Grand Prix,MEDIUM,42,2.661,3
Styrian Grand Prix,SOFT,2,0.0,6
Styrian Grand Prix,SOFT,3,0.2015,6
Styrian Grand Prix,SOFT,4,0.1125,6
Styrian Grand Prix,SOFT,5,0.166,11
Styrian Grand Prix,SOFT,6,0.0,12
Styrian Grand Prix,SOFT,7,0.159,11
Styrian Grand Prix,SOFT,8,0.0,13
Styrian Grand Prix,SOFT,9,0.0095,14
Styrian Grand Prix,SOFT,10,0.1895,14
Styrian Grand Prix,SOFT,11,0.305,15
Styrian Grand Prix,SOFT,12,0.183,19
Styrian Grand Prix,SOFT,13,0.1435,20
Styrian Grand Prix,SOFT,14,0.368,18
Styrian Grand Prix,SOFT,15,0.634,19
Styrian Grand Prix,SOFT,16,0.6395,18
Styrian Grand Prix,SOFT,17,0.48,15
Styrian Grand Prix,SOFT,18,0.645,19
Styrian Grand Prix,SOFT,19,0.662,19
Styrian Grand Prix,SOFT,20,0.619,21
Styrian Grand Prix,SOFT,21,0.7005,20
Styrian Grand Prix,SOFT,22,0.64,17
Styrian Grand Prix,SOFT,23,0.647,19
Styrian Grand Prix,SOFT,24,0.608,19
Styrian Grand Prix,SOFT,25,0.8385,18
Styrian Grand Prix,SOFT,26,0.773,17
Styrian Grand Prix,SOFT,27,0.763,16
Styrian Grand Prix,SOFT,28,0.8555,16
Styrian Grand Prix,SOFT,29,0.616,12
Styrian Grand Prix,SOFT,30,0.7755,12
Styrian Grand Prix,SOFT,31,0.687,9
Styrian Grand Prix,SOFT,32,0.85,8
Styrian Grand Prix,SOFT,33,0.879,7
Styrian Grand Prix,SOFT,34,0.871,5
Styrian Grand Prix,SOFT,35,0.9925,4
Styrian Grand Prix,SOFT,36,1.1555,4
Styrian Grand Prix,SOFT,37,1.221,3
São Paulo Grand Prix,HARD,2,0.0,19
São Paulo Grand Prix,HARD,3,0.071,19
São Paulo Grand Prix,HARD,4,0.3995,20
São Paulo Grand Prix,HARD,5,0.2895,20
São Paulo Grand Prix,HARD,6,0.39,20
São Paulo Grand Prix,HARD,7,0.365,21
São Paulo Grand Prix,HARD,8,0.487,21
São Paulo Grand Prix,HARD,9,0.505,23
São Paulo Grand Prix,HARD,10,0.631,21
São Paulo Grand Prix,HARD,11,0.514,21
São Paulo Grand Prix,HARD,12,0.668,18
São Paulo Grand Prix,HARD,13,0.762,19
São Paulo Grand Prix,HARD,14,0.606,18
São Paulo Grand Prix,HARD,15,0.932,19
São Paulo Grand Prix,HARD,16,0.937,19
São Paulo Grand Prix,HARD,17,0.8205,18
São Paulo Grand Prix,HARD,18,1.046,15
São Paulo Grand Prix,HARD,19,1.581,15
São Paulo Grand Prix,HARD,20,1.171,12
São Paulo Grand Prix,HARD,21,1.546,11
São Paulo Grand Prix,HARD,22,1.616,11
São Paulo Grand Prix,HARD,23,1.5815,14
São Paulo Grand Prix,HARD,24,1.8355,12
São Paulo Grand Prix,HARD,25,1.9495,10
São Paulo Grand Prix,HARD,26,2.005,11
São Paulo Grand Prix,HARD,27,1.94,9
São Paulo Grand Prix,HARD,28,1.826,10
São Paulo Grand Prix,HARD,29,1.924,7
São Paulo Grand Prix,HARD,30,2.584,5
São Paulo Grand Prix,HARD,31,2.0835,4
São Paulo Grand Prix,HARD,32,1.935,3
São Paulo Grand Prix,HARD,34,2.009,3
São Paulo Grand Prix,HARD,35,2.365,3
São Paulo Grand Prix,MEDIUM,2,0.0,36
São Paulo Grand Prix,MEDIUM,3,0.331,39
São Paulo Grand Prix,MEDIUM,4,0.415,39
São Paulo Grand Prix,MEDIUM,5,0.406,40
São Paulo Grand Prix,MEDIUM,6,0.602,41
São Paulo Grand Prix,MEDIUM,7,0.604,41
São Paulo Grand Prix,MEDIUM,8,0.575,44
São Paulo Grand Prix,MEDIUM,9,0.75,44
São Paulo Grand Prix,MEDIUM,10,0.509,49
São Paulo Grand Prix,MEDIUM,11,0.3305,52
São Paulo Grand Prix,MEDIUM,12,0.732,44
São Paulo Grand Prix,MEDIUM,13,0.917,45
São Paulo Grand Prix,MEDIUM,14,0.873,45
São Paulo Grand Prix,MEDIUM,15,0.764,56
São Paulo Grand Prix,MEDIUM,16,0.9925,54
São Paulo Grand Prix,MEDIUM,17,1.155,48
São Paulo Grand Prix,MEDIUM,18,1.129,47
São Paulo Grand Prix,MEDIUM,19,1.148,43
São Paulo Grand Prix,MEDIUM,20,1.2225,36
São Paulo Grand Prix,MEDIUM,21,1.229,31
São Paulo Grand Prix,MEDIUM,22,1.161,30
São Paulo Grand Prix,MEDIUM,23,1.2685,28
São Paulo Grand Prix,MEDIUM,24,1.327,25
São Paulo Grand Prix,MEDIUM,25,1.103,19
São Paulo Grand Prix,MEDIUM,26,1.179,16
São Paulo Grand Prix,MEDIUM,27,1.519,12
São Paulo Grand Prix,MEDIUM,28,1.7025,8
São Paulo Grand Prix,MEDIUM,29,1.638,5
São Paulo Grand Prix,SOFT,2,0.0,16
São Paulo Grand Prix,SOFT,3,0.175,19
São Paulo Grand Prix,SOFT,4,0.0,21
São Paulo Grand Prix,SOFT,5,0.0,31
São Paulo Grand Prix,SOFT,6,0.0,43
São Paulo Grand Prix,SOFT,7,0.0,51
São Paulo Grand Prix,SOFT,8,-0.017,56
São Paulo Grand Prix,SOFT,9,-0.0695,56
São Paulo Grand Prix,SOFT,10,-0.02,52
São Paulo Grand Prix,SOFT,11,0.1,53
São Paulo Grand Prix,SOFT,12,0.372,53
São Paulo Grand Prix,SOFT,13,0.504,53
São Paulo Grand Prix,SOFT,14,0.421,51
São Paulo Grand Prix,SOFT,15,0.483,49
São Paulo Grand Prix,SOFT,16,0.655,47
São Paulo Grand Prix,SOFT,17,0.622,47
São Paulo Grand Prix,SOFT,18,0.8195,48
São Paulo Grand Prix,SOFT,19,0.812,47
São Paulo Grand Prix,SOFT,20,0.8305,40
São Paulo Grand Prix,SOFT,21,0.905,41
São Paulo Grand Prix,SOFT,22,0.9495,38
São Paulo Grand Prix,SOFT,23,0.9475,34
São Paulo Grand Prix,SOFT,24,1.1205,26
São Paulo Grand Prix,SOFT,25,1.154,23
São Paulo Grand Prix,SOFT,26,1.09,18
São Paulo Grand Prix,SOFT,27,1.297,15
São Paulo Grand Prix,SOFT,28,1.4225,10
São Paulo Grand Prix,SOFT,29,1.78,6
São Paulo Grand Prix,SOFT,30,1.4475,4
São Paulo Grand Prix,SOFT,31,2.082,3
Tuscan Grand Prix,HARD,2,0.0,6
Tuscan Grand Prix,HARD,3,0.217,5
Tuscan Grand Prix,HARD,4,0.162,5
Tuscan Grand Prix,HARD,5,0.221,5
Tuscan Grand Prix,HARD,6,0.2785,6
Tuscan Grand Prix,HARD,7,0.501,5
Tuscan Grand Prix,HARD,8,0.755,5
Tuscan Grand Prix,HARD,9,0.617,5
Tuscan Grand Prix,HARD,10,0.727,6
Tuscan Grand Prix,HARD,11,0.401,5
Tuscan Grand Prix,HARD,12,0.677,3
Tuscan Grand Prix,HARD,13,0.55,3
Tuscan Grand Prix,MEDIUM,2,0.0,5
Tuscan Grand Prix,MEDIUM,3,0.096,7
Tuscan Grand Prix,MEDIUM,4,0.315,7
Tuscan Grand Prix,MEDIUM,5,0.084,7
Tuscan Grand Prix,MEDIUM,6,0.337,7
Tuscan Grand Prix,MEDIUM,7,0.161,7
Tuscan Grand Prix,MEDIUM,8,0.256,7
Tuscan Grand Prix,MEDIUM,9,0.24,7
Tuscan Grand Prix,MEDIUM,10,0.2815,8
Tuscan Grand Prix,MEDIUM,11,-0.021,7
Tuscan Grand Prix,MEDIUM,12,0.276,7
Tuscan Grand Prix,MEDIUM,13,0.132,6
Tuscan Grand Prix,MEDIUM,14,1.018,5
Tuscan Grand Prix,MEDIUM,15,0.134,4
Tuscan Grand Prix,MEDIUM,17,0.813,3
Tuscan Grand Prix,MEDIUM,18,1.015,3
Tuscan Grand Prix,MEDIUM,19,0.966,3
Tuscan Grand Prix,MEDIUM,20,0.822,3
Tuscan Grand Prix,SOFT,5,0.0,6
Tuscan Grand Prix,SOFT,6,0.0,12
Tuscan Grand Prix,SOFT,7,-0.0035,16
Tuscan Grand Prix,SOFT,8,-0.3175,16
Tuscan Grand Prix,SOFT,9,0.073,15
Tuscan Grand Prix,SOFT,10,-0.131,15
Tuscan Grand Prix,SOFT,11,0.029,17
Tuscan Grand Prix,SOFT,12,-0.244,17
Tuscan Grand Prix,SOFT,13,-0.421,13
Tuscan Grand Prix,SOFT,14,-0.2675,16
Tuscan Grand Prix,SOFT,15,-0.108,14
Tuscan Grand Prix,SOFT,16,-0.163,14
Tuscan Grand Prix,SOFT,17,0.171,13
Tuscan Grand Prix,SOFT,18,0.044,7
Tuscan Grand Prix,SOFT,19,0.7155,4
Tuscan Grand Prix,SOFT,20,0.852,4
Tuscan Grand Prix,SOFT,21,0.833,3
Tuscan Grand Prix,SOFT,22,0.641,3
United States Grand Prix,HARD,2,0.0,92
United States Grand Prix,HARD,3,0.021,101
United States Grand Prix,HARD,4,0.0565,96
United States Grand Prix,HARD,5,0.177,98
United States Grand Prix,HARD,6,0.251,98
United States Grand Prix,HARD,7,0.211,99
United States Grand Prix,HARD,8,0.232,101
United States Grand Prix,HARD,9,0.292,101
United States Grand Prix,HARD,10,0.4805,100
United States Grand Prix,HARD,11,0.373,99
United States Grand Prix,HARD,12,0.546,100
United States Grand Prix,HARD,13,0.718,101
United States Grand Prix,HARD,14,0.527,104
United States Grand Prix,HARD,15,0.609,102
United States Grand Prix,HARD,16,0.596,99
United States Grand Prix,HARD,17,0.6075,102
United States Grand Prix,HARD,18,0.618,89
United States Grand Prix,HARD,19,0.597,83
United States Grand Prix,HARD,20,0.744,72
United States Grand Prix,HARD,21,0.949,67
United States Grand Prix,HARD,22,0.869,55
United States Grand Prix,HARD,23,0.972,46
United States Grand Prix,HARD,24,0.731,41
United States Grand Prix,HARD,25,0.592,35
United States Grand Prix,HARD,26,0.915,33
United States Grand Prix,HARD,27,0.947,28
United States Grand Prix,HARD,28,0.721,25
United States Grand Prix,HARD,29,1.06,25
United States Grand Prix,HARD,30,1.1725,22
United States Grand Prix,HARD,31,0.1225,16
United States Grand Prix,HARD,32,0.159,15
United States Grand Prix,HARD,33,0.183,13
United States Grand Prix,HARD,34,-0.236,11
United States Grand Prix,HARD,35,1.083,11
United States Grand Prix,HARD,36,-0.513,7
United States Grand Prix,HARD,37,0.092,7
United States Grand Prix,HARD,38,-0.2925,6
United States Grand Prix,MEDIUM,1,0.0,12
United States Grand Prix,MEDIUM,2,0.0,74
United States Grand Prix,MEDIUM,3,0.0,66
United States Grand Prix,MEDIUM,4,0.0,76
United States Grand Prix,MEDIUM,5,0.0,86
United States Grand Prix,MEDIUM,6,0.0,105
United States Grand Prix,MEDIUM,7,-0.0435,104
United States Grand Prix,MEDIUM,8,0.002,106
United States Grand Prix,MEDIUM,9,0.142,103
United States Grand Prix,MEDIUM,10,0.194,95
United States Grand Prix,MEDIUM,11,0.222,95
United States Grand Prix,MEDIUM,12,0.106,89
United States Grand Prix,MEDIUM,13,0.262,81
United States Grand Prix,MEDIUM,14,0.324,80
United States Grand Prix,MEDIUM,15,0.4695,70
United States Grand Prix,MEDIUM,16,0.419,70
United States Grand Prix,MEDIUM,17,0.257,61
United States Grand Prix,MEDIUM,18,0.5845,50
United States Grand Prix,MEDIUM,19,0.5095,36
United States Grand Prix,MEDIUM,20,0.909,33
United States Grand Prix,MEDIUM,21,0.7495,26
United States Grand Prix,MEDIUM,22,0.64,24
United States Grand Prix,MEDIUM,23,0.49,17
United States Grand Prix,MEDIUM,24,0.757,16
United States Grand Prix,MEDIUM,25,0.7235,12
United States Grand Prix,MEDIUM,26,1.0095,10
United States Grand Prix,MEDIUM,27,0.599,7
United States Grand Prix,MEDIUM,28,0.83,8
United States Grand Prix,MEDIUM,29,-0.0785,6
United States Grand Prix,MEDIUM,30,0.863,5
United States Grand Prix,MEDIUM,31,1.348,3
United States Grand Prix,SOFT,2,0.0,8
United States Grand Prix,SOFT,3,0.729,8
United States Grand Prix,SOFT,4,0.982,8
United States Grand Prix,SOFT,5,0.778,10
United States Grand Prix,SOFT,6,0.943,11
United States Grand Prix,SOFT,7,0.725,13
United States Grand Prix,SOFT,8,0.67,12
United States Grand Prix,SOFT,9,0.4535,12
United States Grand Prix,SOFT,10,0.7385,12
United States Grand Prix,SOFT,11,0.812,9
United States Grand Prix,SOFT,12,1.248,10
United States Grand Prix,SOFT,13,0.646,9
United States Grand Prix,SOFT,14,1.502,7
United States Grand Prix,SOFT,15,0.968,7
United States Grand Prix,SOFT,16,1.238,6
United States Grand Prix,SOFT,17,1.079,4
United States Grand Prix,SOFT,18,1.068,4
United States Grand Prix,SOFT,19,1.099,3
United States Grand Prix,SOFT,20,1.276,3
