Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
HAM,Mercedes,50.0,104.537,3.0,SOFT,3.0,3.0,2019,Italian Grand Prix,53,0.9433962264150944,,,,,,,,,,,
VET,Ferrari,7.0,114.863,2.0,HARD,1.0,20.0,2019,Italian Grand Prix,53,0.1320754716981132,,,,,,,,,,,
VET,Ferrari,13.0,112.766,3.0,HARD,7.0,20.0,2019,Italian Grand Prix,53,0.24528301886792453,,,,,,,,,,,
VET,Ferrari,42.0,104.643,4.0,MEDIUM,1.0,15.0,2019,Italian Grand Prix,53,0.7924528301886793,,,,,,,,,,,
RUS,Williams,24.0,105.502,2.0,HARD,1.0,16.0,2019,Italian Grand Prix,53,0.4528301886792453,,,,,,,,,,,
RAI,Alfa Romeo Racing,1.0,97.442,1.0,MEDIUM,1.0,19.0,2019,Italian Grand Prix,53,0.018867924528301886,,,,,,,,,,,
RAI,Alfa Romeo Racing,20.0,114.85,2.0,MEDIUM,20.0,18.0,2019,Italian Grand Prix,53,0.37735849056603776,,,,,,,,,,,
RAI,Alfa Romeo Racing,27.0,114.053,3.0,SOFT,1.0,20.0,2019,Italian Grand Prix,53,0.5094339622641509,,,,,,,,,,,
BOT,Mercedes,28.0,103.415,2.0,MEDIUM,1.0,4.0,2019,Italian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
GRO,Haas F1 Team,8.0,109.76,2.0,MEDIUM,1.0,20.0,2019,Italian Grand Prix,53,0.1509433962264151,,,,,,,,,,,
GRO,Haas F1 Team,30.0,117.856,3.0,SOFT,1.0,18.0,2019,Italian Grand Prix,53,0.5660377358490566,,,,,,,,,,,
KUB,Williams,30.0,128.219,2.0,SOFT,1.0,16.0,2019,Italian Grand Prix,53,0.5660377358490566,,,,,,,,,,,
KUB,Williams,45.0,105.306,3.0,MEDIUM,1.0,17.0,2019,Italian Grand Prix,53,0.8490566037735849,,,,,,,,,,,
GIO,Alfa Romeo Racing,22.0,107.197,2.0,MEDIUM,1.0,13.0,2019,Italian Grand Prix,53,0.41509433962264153,,,,,,,,,,,
